dataset,kernel,speedup_best,speedup_max_density,speedup_density_reuse,speedup_always_RCM,speedup_always_AMD,speedup_never,within90_max_density,within90_density_reuse,within90_always_RCM,within90_always_AMD,within90_never,cases
original,ASpT,1.121,1.005,1.007,0.985,0.989,1.0,0.616,0.609,0.561,0.513,0.563,774
original,Acc-SpMM,1.275,1.024,1.047,1.022,0.972,1.0,0.615,0.593,0.525,0.346,0.432,774
original,DTC-SpMM,1.344,1.035,1.147,1.049,0.95,1.0,0.478,0.518,0.352,0.24,0.316,728
original,FlashSparse,1.337,1.059,1.163,1.035,0.959,1.0,0.513,0.574,0.351,0.21,0.317,758
original,SMaT,1.52,1.249,1.273,1.133,0.905,1.0,0.607,0.609,0.4,0.087,0.363,670
original,cuSPARSE-BSR,1.61,1.457,1.467,1.167,1.047,1.0,0.743,0.746,0.381,0.187,0.365,680
original,cuSPARSE-CSR,1.219,1.133,1.132,1.107,1.121,1.0,0.705,0.73,0.646,0.663,0.333,774
scrambled,ASpT,1.196,1.077,1.074,1.082,1.056,1.0,0.64,0.609,0.66,0.539,0.368,774
scrambled,Acc-SpMM,1.606,1.333,1.316,1.363,1.213,1.0,0.68,0.565,0.628,0.32,0.16,774
scrambled,DTC-SpMM,1.531,1.209,1.239,1.223,1.043,1.0,0.552,0.483,0.45,0.178,0.258,686
scrambled,FlashSparse,1.703,1.391,1.409,1.389,1.155,1.0,0.605,0.537,0.456,0.158,0.167,726
scrambled,SMaT,2.639,2.187,2.224,2.279,1.53,1.0,0.64,0.646,0.602,0.145,0.148,628
scrambled,cuSPARSE-BSR,3.465,3.185,3.194,2.994,2.299,1.0,0.753,0.76,0.569,0.182,0.09,566
scrambled,cuSPARSE-CSR,1.589,1.52,1.523,1.464,1.445,1.0,0.868,0.869,0.679,0.655,0.17,695
