matrix,perm,perm_type,rows,cols,nnz,density,bandwidth_lower,bandwidth_upper,bandwidth_max,bandwidth_avg,locality_profile,locality_avg_row_spread,locality_max_row_spread,locality_max_nnz_per_row,locality_avg_nnz_per_row,locality_num_empty_rows,locality_consecutive_vertical_pairs,locality_total_vertical_pairs,locality_vertical_adjacency_ratio,locality_avg_col_spread,locality_max_col_spread,locality_num_empty_cols,block_density_4,nonzero_blocks_4,total_blocks_4,max_blocks_per_row_4,avg_blocks_per_row_4,block_density_8,nonzero_blocks_8,total_blocks_8,max_blocks_per_row_8,avg_blocks_per_row_8,block_density_16,nonzero_blocks_16,total_blocks_16,max_blocks_per_row_16,avg_blocks_per_row_16,block_density_32,nonzero_blocks_32,total_blocks_32,max_blocks_per_row_32,avg_blocks_per_row_32,block_density_64,nonzero_blocks_64,total_blocks_64,max_blocks_per_row_64,avg_blocks_per_row_64,block_density_128,nonzero_blocks_128,total_blocks_128,max_blocks_per_row_128,avg_blocks_per_row_128
TSOPF_RS_b9_c6.mtx,None,SYMMETRIC,7224,7224,54082,0.0010363280881128367,7150,7174,7174,2105.077659849858,38774076,5367.397009966778,7174,11,7.486434108527132,0,5439,46858,0.11607409620555721,4981.149224806201,7222,0,0.07920620972466315,42675,3261636,32,23.62956810631229,0.021807258064516128,38750,815409,56,42.9125138427464,0.0060912811400726605,34682,204304,96,76.73008849557522,0.0020008506260418245,26396,51076,138,116.79646017699115,0.001093285855862383,12077,12769,113,106.87610619469027,0.0010159751678401046,3249,3249,57,57.0
TSOPF_RS_b39_c7.mtx,None,SYMMETRIC,14098,14098,252446,0.0012701455214869965,14013,14063,14063,4452.134789222249,153582144,10893.89587175486,14063,32,17.906511561923676,0,35028,238348,0.14696158558074748,10654.818910483757,14095,0,0.07758860208602775,203353,12425625,95,57.68879432624114,0.021676120908046798,181973,3108169,174,103.21781055019852,0.0062124662166418865,158732,777924,269,179.96825396825398,0.002160926474777578,114085,194481,310,258.69614512471657,0.0013053270971439767,47216,48841,221,213.64705882352942,0.0012539128462473552,12288,12321,111,110.70270270270271
TSOPF_RS_b39_c19.mtx,None,SYMMETRIC,38098,38098,684206,0.0004713923425075804,37942,37985,37985,12117.967433784563,1122313466,29458.59273452675,38035,32,17.9591054648538,0,94709,646108,0.14658385285432157,28811.785999265052,38094,0,0.07729366545444029,553252,90725625,95,58.08419947506562,0.021283363759794865,502304,22686169,178,105.459584295612,0.0057905734015517045,461557,5673924,306,193.7686817800168,0.001678983422684635,397961,1418481,448,334.14021830394626,0.0006493643308534831,257240,355216,493,431.61073825503354,0.0004733637129162841,88221,88804,298,296.0436241610738
TSOPF_RS_b162_c4.mtx,None,SYMMETRIC,20374,20374,812749,0.0019579601127127292,20343,20351,20351,6592.398556011758,327797699,16089.020270933543,20352,77,39.89147933640915,0,122478,792375,0.15457075248461902,15874.801119073329,20371,0,0.077290541661151,657219,25948836,230,129.01825677267374,0.021946563030336548,578642,6487209,408,227.18570867687475,0.006630565129288469,478813,1623076,566,375.8343799058085,0.0026585702452988505,298544,405769,543,468.6718995290424,0.001962467103433142,101110,101761,319,316.9592476489028,0.0019377446174621582,25600,25600,160,160.0
TSOPF_RS_b162_c3.mtx,None,SYMMETRIC,15374,15374,610299,0.0025820753096011946,15349,15343,15349,5000.90955416935,186223634,12112.894106933783,15361,77,39.696825809808765,0,92126,594925,0.15485313274782536,11998.01619617536,15372,0,0.07802802416302884,488846,14776336,228,127.17117585848075,0.0223256772559982,427128,3694084,394,222.23100936524455,0.006994324307969898,340845,923521,513,354.6774193548387,0.0031203932837041886,191000,231361,448,397.0893970893971,0.002572892529862634,57911,58081,241,240.29460580912863,0.0025466394219059788,14627,14641,121,120.88429752066116
TSOPF_RS_b162_c1.mtx,None,SYMMETRIC,5374,5374,205399,0.007112184276691492,5365,5345,5365,1759.263628352621,22651589,4215.033308522516,5369,77,38.22087830294008,0,30045,200025,0.15020622422197225,4190.343133606252,5370,0,0.07985964230171073,160750,1806336,222,119.60565476190476,0.02481892008413824,129311,451584,336,192.42708333333334,0.010034516167863128,79958,112896,315,237.9702380952381,0.0071925186796292315,27888,28224,168,166.0,0.007106893457252693,7056,7056,84,84.0,0.007106893457252693,1764,1764,42,42.0
TSOPF_FS_b9_c6.mtx,None,SYMMETRIC,14454,14454,147972,0.0007082774956672499,14430,14430,14430,5094.156759386911,158516077,10966.934896914348,14451,7210,10.237442922374429,0,11202,133518,0.08389880016177594,10966.934896914348,14451,0,0.07544356976791614,122585,13060996,3393,33.919479800774766,0.02104419434407056,109867,3265249,1799,60.80077476480354,0.0058986603361533205,97991,817216,904,108.39712389380531,0.0018324106803195535,78860,204304,452,174.46902654867256,0.0008330483918853479,43366,51076,226,191.8849557522124,0.0007078528208029626,12759,12769,113,112.91150442477876
TSOPF_FS_b9_c1.mtx,None,SYMMETRIC,2454,2454,25032,0.004156678483111252,2433,2433,2433,849.0429050814956,4609447,1878.340260798696,2452,1210,10.200488997555013,0,1956,22578,0.08663300558065373,1878.340260798696,2452,0,0.07686449837869706,20354,376996,570,33.14983713355049,0.02265158973764985,17267,94249,305,56.244299674267104,0.007784511583472653,12561,23716,154,81.56493506493507,0.004391110562241782,5567,5929,77,72.2987012987013,0.0040179672090729784,1521,1521,39,39.0,0.003819580078125,400,400,20,20.0
TSOPF_FS_b39_c7.mtx,None,SYMMETRIC,28216,28216,730080,0.000917021584634199,28148,28148,28148,10072.479468003507,624974056,22149.633399489652,28215,14024,25.87468103203856,0,70280,701864,0.10013335916929776,22149.633399489652,28215,0,0.07927338808171605,575603,49758916,6594,81.59951800396938,0.02292130903128711,497681,12439729,3514,141.1060391267366,0.00650237123509428,438590,3111696,1764,248.63378684807256,0.0020839422725611985,342125,777924,882,387.8968253968254,0.001026912257808044,173571,194481,441,393.5850340136054,0.000912733186026505,48821,48841,221,220.90950226244343
adder_dcop_54.mtx,None,SYMMETRIC,1813,1813,11246,0.003421389127795242,1770,1787,1787,479.84358883158455,2003965,1105.330943188086,1811,1310,6.202978488692774,0,1135,9433,0.12032227287183293,1052.7065637065637,1811,0,0.08956103465851173,7848,206116,448,17.2863436123348,0.026242346176821984,6696,51529,227,29.497797356828194,0.008475725930928034,5183,12996,114,45.46491228070175,0.003929310152057245,2795,3249,57,49.03508771929825,0.003280293272102748,837,841,29,28.862068965517242,0.0030506727430555554,225,225,15,15.0
adder_dcop_53.mtx,None,SYMMETRIC,1813,1813,11246,0.003421389127795242,1793,1772,1793,492.1849546505424,2154932,1188.600110314396,1812,1310,6.202978488692774,0,1173,9433,0.12435068376974451,1049.157749586321,1812,0,0.08977838804445012,7829,206116,449,17.244493392070485,0.02642784629267559,6649,51529,227,29.290748898678412,0.008521762851600388,5155,12996,114,45.219298245614034,0.003951933024469233,2779,3249,57,48.75438596491228,0.003300006573016827,832,841,29,28.689655172413794,0.0030506727430555554,225,225,15,15.0
adder_dcop_52.mtx,None,SYMMETRIC,1813,1813,11246,0.003421389127795242,1793,1793,1793,482.6621910012449,2115756,1166.991726420298,1812,1310,6.202978488692774,0,1133,9433,0.12011025124562705,1040.5041367898511,1812,0,0.08944706032069229,7858,206116,451,17.308370044052865,0.02630914058990867,6679,51529,227,29.422907488986784,0.008523416278618549,5154,12996,114,45.21052631578947,0.00398636002722323,2755,3249,57,48.333333333333336,0.0032960449804921967,833,841,29,28.724137931034484,0.0030506727430555554,225,225,15,15.0
adder_dcop_51.mtx,None,SYMMETRIC,1813,1813,11246,0.003421389127795242,1811,1811,1811,583.3409212164325,2467599,1361.0584666298953,1812,1310,6.202978488692774,0,1168,9433,0.12382062970422983,1274.6723662437948,1812,0,0.08956103465851173,7848,206116,452,17.2863436123348,0.026218852581319008,6702,51529,227,29.524229074889867,0.00841081514455294,5223,12996,114,45.81578947368421,0.003953355606551476,2778,3249,57,48.73684210526316,0.003264691401605232,841,841,29,29.0,0.0030506727430555554,225,225,15,15.0
adder_dcop_50.mtx,None,SYMMETRIC,1813,1813,11246,0.003421389127795242,1791,1791,1791,470.9777698737329,1998053,1102.0700496414781,1810,1310,6.202978488692774,0,1116,9433,0.11830806742287714,1028.3392167677882,1812,0,0.08943567883954702,7859,206116,452,17.31057268722467,0.02620712155108128,6705,51529,227,29.537444933920703,0.008523416278618549,5154,12996,114,45.21052631578947,0.00395477921317969,2777,3249,57,48.719298245614034,0.0032842170678827752,836,841,29,28.82758620689655,0.0030506727430555554,225,225,15,15.0
adder_dcop_49.mtx,None,SYMMETRIC,1813,1813,11246,0.003421389127795242,1759,1759,1759,539.9591854881736,2293673,1265.1257584114726,1812,1310,6.202978488692774,0,1165,9433,0.12350259726492102,1164.6762272476558,1812,0,0.08988171355498721,7820,206116,448,17.22466960352423,0.026376275893125186,6662,51529,227,29.348017621145374,0.008452893496247836,5197,12996,114,45.58771929824562,0.003929310152057245,2795,3249,57,49.03508771929825,0.0032724737410607867,839,841,29,28.93103448275862,0.0030506727430555554,225,225,15,15.0
adder_dcop_48.mtx,None,SYMMETRIC,1813,1813,11246,0.003421389127795242,1786,1780,1786,465.7422194558065,1976324,1090.084942084942,1810,1310,6.202978488692774,0,1140,9433,0.12085232693734761,1029.7981246552674,1811,0,0.0896181308172893,7843,206116,452,17.27533039647577,0.026431821600481346,6648,51529,227,29.2863436123348,0.008561622977977003,5131,12996,114,45.00877192982456,0.003963342430530494,2771,3249,57,48.6140350877193,0.0033079583960843374,830,841,29,28.620689655172413,0.0030506727430555554,225,225,15,15.0
adder_dcop_47.mtx,None,SYMMETRIC,1813,1813,11246,0.003421389127795242,1796,1755,1796,483.78925840298774,2025143,1117.0121345835632,1812,1310,6.202978488692774,0,1146,9433,0.12148839181596523,1075.2515168229454,1812,0,0.08970963624760689,7835,206116,448,17.25770925110132,0.026407987676585514,6654,51529,227,29.312775330396477,0.008454520304080062,5196,12996,114,45.578947368421055,0.003947671414450036,2782,3249,57,48.80701754385965,0.0032724737410607867,839,841,29,28.93103448275862,0.0030506727430555554,225,225,15,15.0
adder_dcop_46.mtx,None,SYMMETRIC,1813,1813,11246,0.003421389127795242,1792,1792,1792,492.35879423795126,2059535,1135.9817981246554,1812,1310,6.202978488692774,0,1121,9433,0.11883812148839182,1052.2520683949256,1812,0,0.08965242346938776,7840,206116,452,17.26872246696035,0.02638815888271512,6659,51529,227,29.334801762114537,0.008478997780351284,5181,12996,114,45.44736842105263,0.003992156261359505,2751,3249,57,48.26315789473684,0.0033039777000601683,831,841,29,28.655172413793103,0.0030642918178013395,224,225,15,14.933333333333334
